time,value
2025-01-06T04:00:00.305495137Z,5.22081995010376
2025-01-06T04:00:10.509402772Z,5.22482967376709
2025-01-06T04:00:20.683562957Z,5.220829963684080
2025-01-06T04:00:30.883626784Z,5.220829963684080
2025-01-06T04:00:41.069879567Z,5.216829776763920
2025-01-06T04:00:51.256139088Z,5.22081995010376
2025-01-06T04:01:01.449535678Z,5.22081995010376
2025-01-06T04:01:11.65187984Z,5.22081995010376
2025-01-06T04:01:21.826924614Z,5.220829963684080
2025-01-06T04:01:32.01873552Z,5.228829860687260
2025-01-06T04:01:42.211462675Z,5.22482967376709
2025-01-06T04:01:52.403455655Z,5.22482967376709
2025-01-06T04:02:02.593682412Z,5.22081995010376
2025-01-06T04:02:12.78571024Z,5.22081995010376
2025-01-06T04:02:22.972290782Z,5.22081995010376
2025-01-06T04:02:33.165675809Z,5.216819763183590
2025-01-06T04:02:43.353852342Z,5.216819763183590
2025-01-06T04:02:53.544392389Z,5.216819763183590
2025-01-06T04:03:03.737595497Z,5.216819763183590
2025-01-06T04:03:13.925483558Z,5.220829963684080
2025-01-06T04:03:24.114734077Z,5.22081995010376
2025-01-06T04:03:34.314383077Z,5.216819763183590
2025-01-06T04:03:44.4961304Z,5.212820053100590
2025-01-06T04:03:54.690649231Z,5.208809852600100
2025-01-06T04:04:04.878072247Z,5.20881986618042
2025-01-06T04:04:15.06838375Z,5.204819679260250
2025-01-06T04:04:25.256876552Z,5.204809665679930
2025-01-06T04:04:35.446055952Z,5.204809665679930
2025-01-06T04:04:45.634642884Z,5.200809955596920
2025-01-06T04:04:55.829612442Z,5.196809768676760
2025-01-06T04:05:06.020218364Z,5.192800045013430
2025-01-06T04:05:16.201902198Z,5.188799858093260
2025-01-06T04:05:26.400302288Z,5.19281005859375
2025-01-06T04:05:36.584519253Z,5.188799858093260
2025-01-06T04:05:46.776399873Z,5.188799858093260
2025-01-06T04:05:56.958585228Z,5.188799858093260
2025-01-06T04:06:07.16697262Z,5.184789657592770
2025-01-06T04:06:17.339740934Z,5.184789657592770
2025-01-06T04:06:27.532992551Z,5.180789947509770
2025-01-06T04:06:37.717642455Z,5.1687798500061000
2025-01-06T04:06:47.910120712Z,5.1687798500061000
2025-01-06T04:06:58.092276731Z,5.1647796630859400
2025-01-06T04:07:08.288550572Z,5.1647796630859400
2025-01-06T04:07:18.473554606Z,5.160769939422610
2025-01-06T04:07:28.665918732Z,5.156769752502440
2025-01-06T04:07:38.853212462Z,5.152769565582280
2025-01-06T04:07:49.043407137Z,5.148759841918950
2025-01-06T04:07:59.231600972Z,5.152769565582280
2025-01-06T04:08:09.422866134Z,5.156769752502440
2025-01-06T04:08:19.611687825Z,5.156769752502440
2025-01-06T04:08:29.805709129Z,5.156769752502440
2025-01-06T04:08:39.991686852Z,5.152759552001950
2025-01-06T04:08:50.18263199Z,5.152769565582280
2025-01-06T04:09:00.370510263Z,5.152769565582280
2025-01-06T04:09:10.581713243Z,5.156769752502440
2025-01-06T04:09:20.748200936Z,5.152759552001950
2025-01-06T04:09:30.94188537Z,5.144759654998780
2025-01-06T04:09:41.127942248Z,5.144769668579100
2025-01-06T04:09:51.315997479Z,5.144769668579100
2025-01-06T04:10:01.505742595Z,5.144759654998780
2025-01-06T04:10:11.697701391Z,5.1407599449157700
2025-01-06T04:10:21.888113715Z,5.1407599449157700
2025-01-06T04:10:32.076623457Z,5.1367597579956100
2025-01-06T04:10:42.271797423Z,5.140749931335450
2025-01-06T04:10:52.456763851Z,5.1407599449157700
2025-01-06T04:11:02.654419646Z,5.144759654998780
2025-01-06T04:11:12.837702628Z,5.148769855499270
2025-01-06T04:11:23.026501971Z,5.148759841918950
2025-01-06T04:11:33.212783303Z,5.144759654998780
2025-01-06T04:11:43.404062629Z,5.148759841918950
2025-01-06T04:11:53.595176101Z,5.148759841918950
2025-01-06T04:12:03.796908763Z,5.152769565582280
2025-01-06T04:12:13.977906334Z,5.152769565582280
2025-01-06T04:12:24.170495972Z,5.156769752502440
2025-01-06T04:12:34.354053497Z,5.160769939422610
2025-01-06T04:12:44.548669376Z,5.156769752502440
2025-01-06T04:12:54.734434703Z,5.148769855499270
2025-01-06T04:13:04.923968988Z,5.148769855499270
2025-01-06T04:13:15.115885792Z,5.156769752502440
2025-01-06T04:13:25.305767904Z,5.152769565582280
